case_id,lang,topic,case_text,resolution,status,closed_at,synthetic
CASE-000966,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة خدمات المياه,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-03-13T05:00,True
CASE-000967,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص بلدي,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-03-13T06:00,True
CASE-000968,ar,parks,ألعاب الأطفال في حديقة حي العليا تحتاج صيانة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-03-13T07:00,True
CASE-000969,en,roads,The road leading to Al Yasmin needs urgent maintenance,The case was assigned to the roads team and the pothole was repaired,resolved,2025-03-13T08:00,True
CASE-000970,en,lighting,The street is dark near Dammam and the lighting needs repair,The lighting unit was replaced and tested,resolved,2025-03-13T09:00,True
CASE-000971,ar,waste,الحاوية ممتلئة في حي العليا ولم تُفرغ منذ 4 أيام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-03-13T10:00,True
CASE-000972,ar,water,يوجد تسرب مياه في حي النرجس والبلاغ رقم BYN-2026-050971,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-03-13T11:00,True
CASE-000973,ar,billing,الرسوم في خدمة بوابة المرافق غير واضحة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-03-13T12:00,True
CASE-000974,en,digital_services,The verification code for My Licence never reaches my phone — very frustrating 😡,The technical issue was fixed and the verification code was resent,resolved,2025-03-13T13:00,True
CASE-000975,en,licensing,My Facilities Portal licence request has been under review for 8 days,The documents were reviewed and the request status was updated,resolved,2025-03-13T14:00,True
CASE-000976,ar,parks,الممر في حديقة حي العليا غير مناسب للكراسي المتحركة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-03-13T15:00,True
CASE-000977,ar,roads,الأسفلت متضرر قرب شارع التحلية والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-03-13T16:00,True
CASE-000978,ar,lighting,عمود ألإنارة معطل في طريق الملك فهد منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-13T17:00,True
CASE-000979,en,waste,The waste bin at Jeddah has not been emptied for 12 days,The container was emptied and the collection schedule was updated,resolved,2025-03-13T18:00,True
CASE-000980,en,water,There is a water leak at Al Narjis; reference BYN-2026-050979,The fault was fixed and water service was gradually restored,resolved,2025-03-13T19:00,True
CASE-000981,ar,billing,الرسوم في خدمة بلدي غير واضحة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-03-13T20:00,True
CASE-000982,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة بلدي,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-03-13T21:00,True
CASE-000983,ar,licensing,لووووسمحت لم تتغير حالة الطلب رقم BYN-2025-050982,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-03-13T22:00,True
CASE-000984,en,parks,Irrigation is not working in Tahlia Street park,The issue was assigned to the parks team and repaired,resolved,2025-03-13T23:00,True
CASE-000985,en,roads,The road leading to Tahlia Street needs urgent maintenance,The case was assigned to the roads team and the pothole was repaired,resolved,2025-03-14T00:00,True
CASE-000986,ar,lighting,الشارع مظلم قرب طريق الملك فهد ونحتاج إصلاح الإنارة,تم استبدال وحدة الإنارة واختبارها,resolved,2025-03-14T01:00,True
CASE-000987,ar,waste,تراكمت النفايات قرب الدمام وتسبب رائحة قوية 😡 <PHONE>,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-03-14T02:00,True
CASE-000988,ar,water,ضغط المياه منخفض جداً في شارع التحلية,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-03-14T03:00,True
CASE-000989,en,billing,I paid the bill but it still shows as unpaid,The invoice was reviewed and the fees were corrected,resolved,2025-03-14T04:00,True
CASE-000990,en,digital_services,The My Licence app crashes during sign-in,The account was refreshed and sign-in was restored,resolved,2025-03-14T05:00,True
CASE-000991,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص بلدي,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-03-14T06:00,True
CASE-000992,ar,parks,الري متوقف في حديقة حي النرجس,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-03-14T07:00,True
CASE-000993,ar,roads,الطريق المؤدي إلى حي العليا يحتاج صيانة عاجلة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-03-14T08:00,True
CASE-000994,en,lighting,The street is dark near Tahlia Street and the lighting needs repair,The maintenance team repaired the wiring and restored service,resolved,2025-03-14T09:00,True
CASE-000995,en,waste,We need an additional waste container at King Fahd Road,A new collection point was added for the area,resolved,2025-03-14T10:00,True
CASE-000996,ar,water,يوجد تسرب مياه في طريق الملك فهد والبلاغ رقم BYN-2026-050995 <br>,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-03-14T11:00,True
CASE-000997,ar,billing,تم أحتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-050996,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-03-14T12:00,True
CASE-000998,ar,digital_services,تطبيق بوابة المرافق يتوقف عند تسجيل الدخول,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-03-14T13:00,True
CASE-000999,en,licensing,Request BYN-2025-050998 has not changed status,The documents were reviewed and the request status was updated,resolved,2025-03-14T14:00,True
CASE-001000,en,parks,Irrigation is not working in King Fahd Road park — very frustrating 😡,The issue was assigned to the parks team and repaired,resolved,2025-03-14T15:00,True
CASE-001001,ar,roads,حفرة في الطريق أمام حي العليا منذ 13 أيام,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-03-14T16:00,True
CASE-001002,ar,lighting,إنارة الممر لا تعمل عند طريق الملك فهد,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-14T17:00,True
CASE-001003,ar,waste,الحاوية ممتلئة في الدمام ولم تُفرغ منذ 15 أيام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-03-14T18:00,True
CASE-001004,en,water,Water pressure is very low in Dammam,The fault was fixed and water service was gradually restored,resolved,2025-03-14T19:00,True
CASE-001005,en,billing,The fees for Balady are unclear <NATIONAL_ID>,The payment was matched and the account status was updated,resolved,2025-03-14T20:00,True
CASE-001006,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في رخصتي,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-03-14T21:00,True
CASE-001007,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص بلدي,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-03-14T22:00,True
CASE-001008,ar,parks,ألعاب الأطفال في حديقة طريق الملك فهد تحتاج صيانة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-03-14T23:00,True
CASE-001009,en,roads,The road leading to Jeddah needs urgent maintenance,The site was inspected and road maintenance was scheduled,resolved,2025-03-15T00:00,True
CASE-001010,en,lighting,The walkway lights are not working at Dammam,The maintenance team repaired the wiring and restored service,resolved,2025-03-15T01:00,True
CASE-001011,ar,waste,تراكمت النفايات قرب حي الياسمين وتسبب رائحة قوية,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-03-15T02:00,True
CASE-001012,ar,water,لووووسمحت يوجد تسرب مياه في حي العليا والبلاغ رقم BYN-2026-051011,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-03-15T03:00,True
CASE-001013,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة 😡,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-03-15T04:00,True
CASE-001014,en,digital_services,The verification code for Balady never reaches my phone,The technical issue was fixed and the verification code was resent,resolved,2025-03-15T05:00,True
CASE-001015,en,licensing,I need clarification on the documents required for Water Services,The licensing team contacted the applicant for the missing document,resolved,2025-03-15T06:00,True
CASE-001016,ar,parks,ألري متوقف في حديقة حي الياسمين,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-03-15T07:00,True
CASE-001017,ar,roads,حفرة في الطريق أمام حي النرجس منذ 8 أيام,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-03-15T08:00,True
CASE-001018,ar,lighting,عمود الإنارة معطل في حي الياسمين منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-15T09:00,True
CASE-001019,en,waste,Waste is piling up near Riyadh and causing a strong smell,The container was emptied and the collection schedule was updated,resolved,2025-03-15T10:00,True
CASE-001020,en,water,Water pressure is very low in Al Yasmin,The fault was fixed and water service was gradually restored,resolved,2025-03-15T11:00,True
CASE-001021,ar,billing,الرسوم في خدمة بوابة المرافق غير واضحة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-03-15T12:00,True
CASE-001022,ar,digital_services,تطبيق مواعيد الصيانة يتوقف عند تسجيل الدخول,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-03-15T13:00,True
CASE-001023,ar,licensing,طلب ترخيص مواعيد الصيانة متوقف عند المراجعة منذ 14 أيام,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-03-15T14:00,True
CASE-001024,en,parks,Irrigation is not working in Riyadh park <PHONE>,The site was maintained and the affected area was reopened,resolved,2025-03-15T15:00,True
CASE-001025,en,roads,There is a pothole near Dammam for 16 days,The case was assigned to the roads team and the pothole was repaired,resolved,2025-03-15T16:00,True
CASE-001026,ar,lighting,إنارة الممر لا تعمل عند حي الياسمين 😡,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-15T17:00,True
CASE-001027,ar,waste,الحاوية ممتلئة في الدمام ولم تُفرغ منذ 18 أيام <br>,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-03-15T18:00,True
CASE-001028,ar,water,انقطاع المياه مستمر في شارع التحلية منذ الصباح,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-03-15T19:00,True
CASE-001029,en,billing,I paid the bill but it still shows as unpaid,The invoice was reviewed and the fees were corrected,resolved,2025-03-15T20:00,True
CASE-001030,en,digital_services,The verification code for Facilities Portal never reaches my phone,The technical issue was fixed and the verification code was resent,resolved,2025-03-15T21:00,True
CASE-001031,ar,licensing,طلب ترخيص بوابة المرافق متوقف عند المراجعة منذ 1 أيام,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-03-15T22:00,True
CASE-001032,ar,parks,الممر في حديقة الرياض غير مناسب للكراسي المتحركة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-03-15T23:00,True
CASE-001033,ar,roads,حفرة في الطريق أمام حي الياسمين منذ 3 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-03-16T00:00,True
CASE-001034,en,lighting,The streetlight at Jeddah has been out for two weeks,The maintenance team repaired the wiring and restored service,resolved,2025-03-16T01:00,True
CASE-001035,en,waste,THE WASTE BIN AT AL YASMIN HAS NOT BEEN EMPTIED FOR 5 DAYS,The container was emptied and the collection schedule was updated,resolved,2025-03-16T02:00,True
CASE-001036,ar,water,انقطاع المياه مستمر في شارع التحلية منذ الصباح,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-03-16T03:00,True
CASE-001037,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-03-16T04:00,True
CASE-001038,ar,digital_services,تطبيق بوابة المرافق يتوقف عند تسجيل الدخول,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-03-16T05:00,True
CASE-001039,en,licensing,Request BYN-2025-051038 has not changed status — very frustrating 😡,The licensing team contacted the applicant for the missing document,resolved,2025-03-16T06:00,True
CASE-001040,en,parks,Irrigation is not working in Al Yasmin park,The site was maintained and the affected area was reopened,resolved,2025-03-16T07:00,True
CASE-001041,ar,roads,لووووسمحت حفرة في الطريق أمام حي الياسمين منذ 11 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-03-16T08:00,True
CASE-001042,ar,lighting,عمود الإنارة معطل في الدمام منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-16T09:00,True
CASE-001043,ar,waste,تراكمت النفايات قرب جدة وتسبب رائحة قوية,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-03-16T10:00,True
CASE-001044,en,water,Water pressure is very low in Al Yasmin,The leak was repaired and network pressure was restored,resolved,2025-03-16T11:00,True
CASE-001045,en,billing,Incorrect fees were charged on invoice BYN-2025-051044,The invoice was reviewed and the fees were corrected,resolved,2025-03-16T12:00,True
CASE-001046,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة رخصتي <NATIONAL_ID>,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-03-16T13:00,True
CASE-001047,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-051046,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-03-16T14:00,True
CASE-001048,ar,parks,الري متوقف في حديقة حي النرجس,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-03-16T15:00,True
CASE-001049,en,roads,There is a pothole near King Fahd Road for 19 days,The case was assigned to the roads team and the pothole was repaired,resolved,2025-03-16T16:00,True
CASE-001050,en,lighting,The street is dark near Al Olaya and the lighting needs repair,The lighting unit was replaced and tested,resolved,2025-03-16T17:00,True
CASE-001051,ar,waste,تراكمت النفايات قرب شارع التحلية وتسبب رائحة قوية,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-03-16T18:00,True
CASE-001052,ar,water,انقطاع المياه مستمر في طريق الملك فهد منذ الصباح 😡,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-03-16T19:00,True
CASE-001053,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-051052,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-03-16T20:00,True
CASE-001054,en,digital_services,AN ERROR APPEARS WHEN I UPLOAD A DOCUMENT IN MY LICENCE,The account was refreshed and sign-in was restored,resolved,2025-03-16T21:00,True
CASE-001055,en,licensing,I need clarification on the documents required for Water Services,The documents were reviewed and the request status was updated,resolved,2025-03-16T22:00,True
CASE-001056,ar,parks,الري متوقف في حديقة حي العليا,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-03-16T23:00,True
CASE-001057,ar,roads,حفرة في الطريق أمام حي النرجس منذ 6 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-03-17T00:00,True
CASE-001058,ar,lighting,عمود الإنارة معطل في حي الياسمين منذ أسبوعين <br>,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-17T01:00,True
CASE-001059,en,waste,The waste bin at Riyadh has not been emptied for 8 days,The container was emptied and the collection schedule was updated,resolved,2025-03-17T02:00,True
CASE-001060,en,water,There is a water leak at Al Narjis; reference BYN-2026-051059,The leak was repaired and network pressure was restored,resolved,2025-03-17T03:00,True
CASE-001061,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة <PHONE>,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-03-17T04:00,True
CASE-001062,ar,digital_services,تطبيق خدمات المياه يتوقف عند تسجيل الدخول,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-03-17T05:00,True
CASE-001063,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص مواعيد الصيانة,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-03-17T06:00,True
CASE-001064,en,parks,The path at Al Narjis is not wheelchair accessible,The issue was assigned to the parks team and repaired,resolved,2025-03-17T07:00,True
CASE-001065,en,roads,There is a pothole near Dammam for 14 days — very frustrating 😡,The case was assigned to the roads team and the pothole was repaired,resolved,2025-03-17T08:00,True
CASE-001066,ar,lighting,إنارة الممر لا تعمل عند الرياض,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-17T09:00,True
CASE-001067,ar,waste,الحاوية ممتلئة في حي الياسمين ولم تُفرغ منذ 16 أيام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-03-17T10:00,True
CASE-001068,ar,water,يوجد تسرب مياه في حي النرجس والبلاغ رقم BYN-2026-051067,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-03-17T11:00,True
CASE-001069,en,billing,Incorrect fees were charged on invoice BYN-2025-051068,The invoice was reviewed and the fees were corrected,resolved,2025-03-17T12:00,True
CASE-001070,en,digital_services,An error appears when I upload a document in My Licence,The account was refreshed and sign-in was restored,resolved,2025-03-17T13:00,True
CASE-001071,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-051070,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-03-17T14:00,True
CASE-001072,ar,parks,الري متوقف في حديقة حي العليا,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-03-17T15:00,True
CASE-001073,ar,roads,حفرة في ألطريق أمام جدة منذ 1 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-03-17T16:00,True
CASE-001074,en,lighting,The walkway lights are not working at Dammam,The maintenance team repaired the wiring and restored service,resolved,2025-03-17T17:00,True
CASE-001075,en,waste,Waste is piling up near Jeddah and causing a strong smell,A new collection point was added for the area,resolved,2025-03-17T18:00,True
CASE-001076,ar,water,يوجد تسرب مياه في الدمام والبلاغ رقم BYN-2026-051075,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-03-17T19:00,True
CASE-001077,ar,billing,الرسوم في خدمة خدمات المياه غير واضحة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-03-17T20:00,True
CASE-001078,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في خدمات المياه 😡,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-03-17T21:00,True
CASE-001079,en,licensing,My Balady licence request has been under review for 7 days,The licensing team contacted the applicant for the missing document,resolved,2025-03-17T22:00,True
CASE-001080,en,parks,Irrigation is not working in Jeddah park,The site was maintained and the affected area was reopened,resolved,2025-03-17T23:00,True
CASE-001081,ar,roads,الطريق المؤدي إلى شارع التحلية يحتاج صيانة عاجلة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-03-18T00:00,True
CASE-001082,ar,lighting,عمود الإنارة معطل في طريق الملك فهد منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-18T01:00,True
CASE-001083,ar,waste,نحتاج حاوية إضافية في جدة,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-03-18T02:00,True
CASE-001084,en,water,There is a water leak at Tahlia Street; reference BYN-2026-051083,The leak was repaired and network pressure was restored,resolved,2025-03-18T03:00,True
CASE-001085,en,billing,Incorrect fees were charged on invoice BYN-2025-051084,The payment was matched and the account status was updated,resolved,2025-03-18T04:00,True
CASE-001086,ar,digital_services,تطبيق بلدي يتوقف عند تسجيل الدخول,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-03-18T05:00,True
CASE-001087,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-051086 <NATIONAL_ID>,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-03-18T06:00,True
CASE-001088,ar,parks,ألعاب الأطفال في حديقة حي العليا تحتاج صيانة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-03-18T07:00,True
CASE-001089,en,roads,There is a pothole near Al Yasmin for 17 days <br>,The case was assigned to the roads team and the pothole was repaired,resolved,2025-03-18T08:00,True
CASE-001090,en,lighting,The walkway lights are not working at Al Narjis,The lighting unit was replaced and tested,resolved,2025-03-18T09:00,True
CASE-001091,ar,waste,نحتاج حاوية إضافية في جدة 😡,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-03-18T10:00,True
CASE-001092,ar,water,يوجد تسرب ميأه في الرياض والبلاغ رقم BYN-2026-051091,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-03-18T11:00,True
CASE-001093,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-051092,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-03-18T12:00,True
CASE-001094,en,digital_services,The verification code for My Licence never reaches my phone,The technical issue was fixed and the verification code was resent,resolved,2025-03-18T13:00,True
CASE-001095,en,licensing,Request BYN-2025-051094 has not changed status,The licensing team contacted the applicant for the missing document,resolved,2025-03-18T14:00,True
CASE-001096,ar,parks,الري متوقف في حديقة حي الياسمين,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-03-18T15:00,True
CASE-001097,ar,roads,الأسفلت متضرر قرب جدة والقيادة أصبحت خطرة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-03-18T16:00,True
CASE-001098,ar,lighting,الشارع مظلم قرب حي الياسمين ونحتاج إصلاح الإنارة <PHONE>,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-18T17:00,True
CASE-001099,en,waste,Waste is piling up near Al Narjis and causing a strong smell,A new collection point was added for the area,resolved,2025-03-18T18:00,True
CASE-001100,en,water,There is a water leak at King Fahd Road; reference BYN-2026-051099,The fault was fixed and water service was gradually restored,resolved,2025-03-18T19:00,True
CASE-001101,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-051100,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-03-18T20:00,True
CASE-001102,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في بوابة المرافق,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-03-18T21:00,True
CASE-001103,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-051102,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-03-18T22:00,True
CASE-001104,en,parks,The path at King Fahd Road is not wheelchair accessible — very frustrating 😡,The site was maintained and the affected area was reopened,resolved,2025-03-18T23:00,True
CASE-001105,en,roads,The road leading to Dammam needs urgent maintenance,The case was assigned to the roads team and the pothole was repaired,resolved,2025-03-19T00:00,True
CASE-001106,ar,lighting,الشارع مظلم قرب جدة ونحتاج إصلاح الإنارة,تم استبدال وحدة الإنارة واختبارها,resolved,2025-03-19T01:00,True
CASE-001107,ar,waste,الحاوية ممتلئة في الدمام ولم تُفرغ منذ 14 أيام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-03-19T02:00,True
CASE-001108,ar,water,ضغط المياه منخفض جداً في طريق الملك فهد,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-03-19T03:00,True
CASE-001109,en,billing,The fees for Balady are unclear,The invoice was reviewed and the fees were corrected,resolved,2025-03-19T04:00,True
CASE-001110,en,digital_services,The Maintenance Appointments app crashes during sign-in,The account was refreshed and sign-in was restored,resolved,2025-03-19T05:00,True
CASE-001111,ar,licensing,أحتأج توضيح المستندات المطلوبة لترخيص مواعيد الصيانة,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-03-19T06:00,True
CASE-001112,ar,parks,ألعاب الأطفال في حديقة شارع التحلية تحتاج صيانة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-03-19T07:00,True
CASE-001113,ar,roads,الأسفلت متضرر قرب حي العليا والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-03-19T08:00,True
CASE-001114,en,lighting,The streetlight at King Fahd Road has been out for two weeks,The lighting unit was replaced and tested,resolved,2025-03-19T09:00,True
CASE-001115,en,waste,The waste bin at Tahlia Street has not been emptied for 1 days,The container was emptied and the collection schedule was updated,resolved,2025-03-19T10:00,True
CASE-001116,ar,water,انقطاع المياه مستمر في طريق الملك فهد منذ الصباح,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-03-19T11:00,True
CASE-001117,ar,billing,الرسوم في خدمة خدمات المياه غير واضحة 😡,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-03-19T12:00,True
CASE-001118,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في بوابة المرافق,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-03-19T13:00,True
CASE-001119,en,licensing,Request BYN-2025-051118 has not changed status,The documents were reviewed and the request status was updated,resolved,2025-03-19T14:00,True
CASE-001120,en,parks,The playground equipment at Al Narjis needs maintenance <br>,The issue was assigned to the parks team and repaired,resolved,2025-03-19T15:00,True
CASE-001121,ar,roads,الطريق المؤدي إلى الدمام يحتاج صيانة عاجلة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-03-19T16:00,True
CASE-001122,ar,lighting,الشارع مظلم قرب شارع التحلية ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-19T17:00,True
CASE-001123,ar,waste,الحاوية ممتلئة في حي العليا ولم تُفرغ منذ 9 أيام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-03-19T18:00,True
CASE-001124,en,water,Water pressure is very low in Al Yasmin,The fault was fixed and water service was gradually restored,resolved,2025-03-19T19:00,True
CASE-001125,en,billing,I paid the bill but it still shows as unpaid,The payment was matched and the account status was updated,resolved,2025-03-19T20:00,True
CASE-001126,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في مواعيد الصيانة,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-03-19T21:00,True
CASE-001127,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-051126,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-03-19T22:00,True
CASE-001128,ar,parks,لووووسمحت الري متوقف في حديقة حي العليا <NATIONAL_ID>,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-03-19T23:00,True
CASE-001129,en,roads,The road leading to Al Olaya needs urgent maintenance,The site was inspected and road maintenance was scheduled,resolved,2025-03-20T00:00,True
CASE-001130,en,lighting,THE STREETLIGHT AT DAMMAM HAS BEEN OUT FOR TWO WEEKS — VERY FRUSTRATING 😡,The lighting unit was replaced and tested,resolved,2025-03-20T01:00,True
CASE-001131,ar,waste,نحتاج حاوية إضافية في حي الياسمين,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-03-20T02:00,True
CASE-001132,ar,water,انقطاع المياه مستمر في شارع التحلية منذ الصباح,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-03-20T03:00,True
CASE-001133,ar,billing,الرسوم في خدمة مواعيد الصيانة غير واضحة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-03-20T04:00,True
CASE-001134,en,digital_services,An error appears when I upload a document in My Licence,The account was refreshed and sign-in was restored,resolved,2025-03-20T05:00,True
CASE-001135,en,licensing,My Balady licence request has been under review for 21 days <PHONE>,The documents were reviewed and the request status was updated,resolved,2025-03-20T06:00,True
CASE-001136,ar,parks,ألعاب الأطفال في حديقة حي النرجس تحتاج صيانة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-03-20T07:00,True
CASE-001137,ar,roads,حفرة في الطريق أمام حي العليا منذ 2 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-03-20T08:00,True
CASE-001138,ar,lighting,الشارع مظلم قرب شارع التحلية ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-03-20T09:00,True
CASE-001139,en,waste,The waste bin at Riyadh has not been emptied for 4 days,The container was emptied and the collection schedule was updated,resolved,2025-03-20T10:00,True
CASE-001140,en,water,Water has been unavailable in Riyadh since this morning,The fault was fixed and water service was gradually restored,resolved,2025-03-20T11:00,True
